topic_id,query,facet_id,facet_desc,question,question2_case,answer,history,distractor
32,I'm looking for information on web design and hosting.,F0780,Find sites that offer free DNS hosting.,how much data do you need stored,similar_yes_no,"I haven't decided yet, I need to find website that offers free DNS hosting first.","[{'question': 'would you like to register a domain name', 'answer': 'yes specifically for free'}]",id like to know what services are available at the ontario ca airport
160,What are the best recepies for grilling,F0245,Find instructions for grilling chicken.,are you interested in kabob recipes,repeated,I don't know.,"[{'question': 'are you interested in kabob recipes', 'answer': 'no i need to know how to grill chicken'}]",no im looking if biodegradable products exist for dog waste disposal
153,Tell me about Pocono,F0212,Find information about the Pocono Raceway in Pennsylvania.,are you interested in lodgings,similar_no_no,I am not interested in that topic,"[{'question': 'are you looking for the information about split rock restore', 'answer': 'no pocono raceway in pennsylvania'}]",no i whcih to learn more about the voyagers learning programs
12,how to hire disc jockey,F0088,What jobs are available for disc jockeys?,do you need to book a dj for an event,similar_yes_no,"Yes, as I am looking to hire a well-known and respectable DJ.","[{'question': 'would you like to read about dj employment', 'answer': 'yes'}]",yes but i would also like information about all hayrides in pennsylvania
136,Tell me about american military university.,F0146,What are the registration requirements for enrolling at American Military University?,what degree in particular would you like to know more about from the american military unviersity,repeated,just in general what are the registration requirements?,"[{'question': 'what degree in particular would you like to know more about from the american military unviersity', 'answer': 'i need to know the registration requirements'}]",no i want to know how to treat it
29,Tell me about ps 2 games?,F0733,What are the specifications of the PlayStation 2 console?,which ps 2 game genres are you interested in,similar_yes_no,Can you tell me what the specifications of the PS2 system are?,"[{'question': 'are you referring to playstation 2 games', 'answer': 'yes i am'}]",no
112,Is Kenmore heater good,F0058,"information about Kenmore gas water heaters: specifically, features, energy consumption and safety thereof",would you like to know how much a kenmore gas water heater is,repeated,No more like the safety and features of them.,"[{'question': 'would you like to know how much a kenmore gas water heater is', 'answer': 'no i need information on them'}]",no i want to find thepowerwasheradvisorcom website
65,Tell me about Korean language.,F0926,Find a Korean/English bilingual dictionary.,are you interested in the history of the korean language,similar_yes_no,Nope just a dictionary that is both in Korean and English.,"[{'question': 'are you looking for a dictionary', 'answer': 'yes i want to find a koreanenglish bilingual dictionary'}]",no i want you to navigate to wwwthepowerwasheradvisorcom
241,How to use wiki?,F0559,Find information about what a wiki is.,is a rich text editor something you are familiar with,similar_no_no,"I'm not sure, I am interested in learning about wikis.","[{'question': 'what would you like to know about ward cunningham inventor of th wiki', 'answer': 'no id like to know what a wiki is'}]",no i would like to know how that quote has been interpereted over time
137,tell me about rock and gem shows,F0150,rock and gem shows that offer lapidary classes,would you like directions to local rock and gem shows,similar_yes_no,"no, i want to know which ones have lapidary classes","[{'question': 'are you looking for information about upcoming rock and gem shows', 'answer': 'yes ones that have lapidary classes'}]",yes
115,Tell me about the pacific northwest laboratory.,F0066,"career opportunities at PNL: what openings are currently available, what educational background is required, what prior experience is needed",are you looking for research papers,repeated,No I want to know what career opportunities are available at PNL.,"[{'question': 'are you looking for research papers', 'answer': 'no'}]",no i am looking for general information about computer memory
75,Find information about tornadoes,F0966,Find information about forecasting tornadoes.,are you interested in tornado safety,similar_no_no,Maybe.  I want to know about forecasting tornadoes though.,"[{'question': 'would you like historic information', 'answer': 'no i want to know about how tornadoes are forecast'}]",no im looking for tutorials
34,Tell me about cell phones.,F0787,What free phones are available from different vendors?,are you looking for a new phone with a specific carrier,repeated,I am looking for a free phone from any carrier,"[{'question': 'are you looking for a new phone with a specific carrier', 'answer': 'no any carrier will do but the phone has to be free'}]",no i am looking for thing to do in cass county mo
